daily_screen_time_min,num_app_switches,sleep_hours,notification_count,social_media_time_min,focus_score,mood_score,anxiety_level,digital_wellbeing_score
319.4,44,7.7,75,155.6,7.5,9,10,53
396.7,43,7.2,61,135.3,7.1,9.2,10,50.1
421.9,52,7.4,63,145.7,6,8.3,7.4,53.9
415.9,49,5.8,76,163.6,6.4,9.2,10,43.3
309.6,42,5.5,60,105.1,7.3,9.1,8.6,50.1
341.4,50,6.5,72,92.4,8.1,9,10,51.8
379.9,63,6.3,32,71.2,7.4,9.2,1.9,72.9
418.5,54,6,85,82.9,6,9.7,10,41.9
331.2,52,7.3,80,252.7,7.3,8.3,6.3,62.3
348.9,48,7.6,59,176,6.5,8.8,9,52.1
293.6,49,6.6,96,59.2,7.6,8.9,7.3,58.3
288.2,59,8.3,103,60.5,6.6,9.3,10,51.2
408.8,52,5.1,39,141.7,7.2,8.3,8.8,47.7
441.4,35,6.3,60,144.6,7.9,9.5,5.7,63.4
355.7,57,5.6,60,144.7,6.4,7.9,6.9,51.9
420.2,46,4.3,56,108.5,6.4,9.9,9,41.3
381.7,51,6.4,100,114.4,6.4,8.8,10,44.8
321.3,47,6.4,75,134.8,7.8,8.7,8.5,54.6
381.7,55,8.3,73,123.9,6.1,9.3,8.4,54.4
452.3,44,7.3,29,30,5.9,9.1,6.6,55.6
357.9,41,5.3,95,109.7,6.8,8.5,8.9,46.3
453.9,50,8.7,49,81.7,7.3,10,6.9,64.5
202.8,62,8,81,127.9,7.9,8.5,10,55.4
409.3,52,7.2,86,254.3,6.5,9.7,10,47.6
365.2,41,6.2,114,136.5,6.6,9.5,6.7,55.1
342.1,50,5.3,47,105.9,8,8.2,10,47.9
365.5,37,6.1,20,161.5,6.9,9.3,6.3,56.7
240.7,43,7.8,84,141.7,7.3,9.6,10,52.6
346.8,51,8.8,125,138.9,6.7,9,10,53
381.4,56,8.4,110,147.3,6.7,7.8,10,51.9
448.7,50,5.9,85,212.5,6.4,9.6,10,43.3
328.9,48,5.2,67,69.1,7.3,9.7,10,44.6
311.5,42,6.7,100,141.3,5.9,8.3,10,43.5
329.9,47,4.4,55,78.3,7.1,8.2,3.1,62
414.9,53,6.9,91,145,6.9,8.9,8,54.2
379.7,55,6.3,92,78.7,6.2,9.7,1,70.8
328.2,44,5.9,106,101.2,7,8.1,8.3,51
390.8,57,4.6,148,106.7,6.3,8.1,10,38.9
365.8,53,7.1,89,163.9,6.7,8.5,10,48
418.1,39,5.9,67,161.3,7.2,9.4,10,46.5
317.9,58,5.1,79,63.9,6.5,9.1,8,47.2
340.3,54,3.1,35,122.5,7.3,9,5.8,51
336.5,45,6.5,62,88.1,7.7,9,8.7,54
272.2,43,8.6,69,63.4,7.6,8.5,9.9,56.6
377.8,43,8.5,66,110.2,6.9,8.7,4.2,70.6
375.7,48,6,83,106.1,7.1,9.6,10,46.1
360.3,57,5.8,59,229.2,7.4,7.8,10,47
345.9,45,7.1,108,139.5,5.8,8.8,10,44.6
275.1,52,5.3,80,58,7.8,8.8,10,47.2
334.8,53,6.9,79,94.6,6.9,8.3,10,48
339.4,51,7.4,71,166,7.3,9.4,10,51.6
311.9,56,8,83,214,7.6,8.6,10,54.3
350.3,59,6.4,100,48.6,6,9.4,6.4,53.7
384.2,60,6.3,58,35.4,6.6,9.9,6.6,55.2
473.2,48,5.4,63,204.2,6.7,8.5,10,43.1
370.5,45,5.5,72,137.5,6.7,7.7,10,43.5
375.5,53,6.2,46,80.9,8.1,10,4,69.2
355.5,41,6.9,59,144.1,7,9,10,48.7
244.9,42,7.6,68,30,7.4,9.1,10,52.3
358.4,40,5.5,101,120.2,7.1,9,10,45
363.6,45,8.3,86,134.8,6.4,9,10,50.6
507.8,53,6.2,84,161.6,6.2,9.4,10,43.3
348.5,43,6.5,101,74.4,7.1,9.1,10,47.9
378.1,59,5.6,76,123.9,6.6,9.2,10,43.3
357.9,52,3.6,89,78.4,6.8,10,6.2,49.3
289.9,48,7.6,77,131.5,7,8.4,10,50.8
428.6,50,7.4,86,79.7,5.9,8.6,6,57.9
405.1,42,6.2,65,101.6,7.3,9.1,6.8,57.5
407.5,38,6.6,20,75.2,8.6,9.2,6.1,65.8
305.4,44,7.1,76,149.3,7.3,8.4,10,50.7
444.2,45,4.6,115,158.6,6.6,8.8,9.5,41.7
275.9,55,5.9,103,109.4,7.3,8.5,10,46.8
395.2,51,7.5,104,121.7,6,9.1,10,46.3
491.4,53,5,110,54.8,7,8.5,7.3,51.4
300.6,55,6.9,82,106.5,7.2,8.8,5,64.1
326,52,4.9,84,117.7,7.8,8.9,9.7,46.8
366,50,7.1,64,237.9,6.8,9.2,10,48.3
329.8,46,6.5,72,70,8.2,9,8.3,57.2
267,40,4.6,95,185.9,7.7,9.3,10,44.7
364.1,55,7.9,110,164.9,6.9,9.1,7,60.2
296.3,54,5.6,76,132.6,7.3,9.3,9.1,48.7
388.4,44,5.5,68,199.1,7,9.3,10,44.6
304.8,57,6.7,80,136.7,7.6,7.8,10,50.8
453,45,7.9,95,137.5,6.7,8.3,9.2,52.8
313,47,5.3,43,117.6,6.6,8.1,10,42.2
340.7,62,6.6,22,175.1,6.8,9.3,3.2,67.4
408.8,66,7,66,169.3,6.6,8.6,10,47.3
286.1,43,7.3,49,91.8,7.8,9.8,6.9,62.8
373.6,59,6.7,67,60.6,6.9,9.4,10,47.7
438.4,57,6.1,76,110.9,7.2,9.4,9.8,47.9
263.6,54,5.5,68,84,6.4,8.4,10,42
371.1,44,6.6,116,117.1,6.8,9.3,10,47
375.6,65,5.2,88,175.7,5.7,8.1,9,41.4
406.9,42,3,87,99.4,7.3,8.8,10,38.2
285.8,62,7,95,118.1,6.8,7.7,10,48.3
280.8,54,7.6,51,122.6,7.7,9.7,9.3,55.5
391.3,65,3.7,105,158.2,5.9,8,10,34.6
377.8,46,5.3,78,30,7.7,8.8,3.8,65.2
375,44,7.2,96,92.7,7.4,9.6,10,51.4
380.8,37,9,53,129.5,7.8,8.6,7.2,66.3
319.2,47,6.5,41,174,7.5,8.7,9.5,51.3
373.9,36,5.6,100,97.9,7.3,9.3,10,46.2
377.6,51,6.3,89,35.6,6.5,9.7,3.2,65.3
317.1,46,8.1,57,147.9,7.9,9.3,7.5,63.6
471.9,60,5.7,58,91.4,7.5,7.9,10,47.1
388.4,44,5.5,108,66.5,7.3,9.2,10,45.7
288.5,59,5.9,50,91.9,7,8.6,7.4,53.6
399.4,59,5.4,121,111.7,6.5,9.3,10,41.9
301.5,64,6.6,57,92.8,6.5,9.3,7.1,54.7
407.2,56,8.4,95,30,6.8,8.7,10,52.7
429.5,50,6.9,71,160.4,7.1,9.5,10,49
310.8,56,6.2,95,177.4,6,8.9,10,42.4
417.8,48,6.1,66,149.3,6.4,8.9,10,44.1
384.8,44,4.6,75,68.8,6.9,9.2,5.8,54.3
409.3,47,7.6,81,110.9,6.7,9.1,10,49.6
473.8,46,6.4,54,119.7,6.3,8.8,4.1,62.2
345.3,32,6.3,98,146.9,7.4,8.8,10,48.5
314.8,48,10,67,150.1,7.4,8.5,9.2,62.1
306.6,56,6.9,74,87,7,9.5,7.9,55
311.1,48,5.6,55,123.7,7.1,9.1,3.2,65.5
355.4,65,6,20,140.6,7.8,8.1,6.3,60.4
380.5,52,7.9,75,185.5,7.8,8.3,8.8,58.2
376.6,65,6.6,140,151.7,5.8,9.4,10,43.1
409.6,52,4.8,99,155.5,6.3,8.7,10,39.5
360.8,44,7.6,79,123.8,7.4,10,10,52.3
447.2,44,5.7,73,183.5,6.7,8.8,10,44
344.1,56,8.7,80,138.4,6.9,7.9,10,53.7
523.2,48,7.8,93,81.3,6.7,9.6,6.1,62
397.5,54,6,50,183.2,6.1,9.1,8,48.5
308.6,57,8,107,151.4,7.4,8.4,10,53.8
295.7,44,6.6,97,100.1,7.2,9.9,8,54.4
388.9,52,7.5,97,98.4,6.5,9.3,10,48.5
346.6,39,7.1,90,133.3,7.1,8.8,10,49.7
402.8,45,5.5,80,140.8,6.9,9.3,10,44.2
388.4,59,5.7,96,128.9,5.7,9,10,39.9
355.6,53,7.7,94,134,7.6,8.5,10,53.4
309.2,38,6.1,71,196.5,7.5,8.7,10,48.4
269.1,47,6,65,168.2,7.7,8.7,9.7,49.8
333.2,55,5.4,82,128.6,7.4,9.1,10,45.8
411.4,38,7,118,162.4,6.2,8.8,10,45.7
372.8,54,9,49,73.5,7.4,9.1,9.6,57.9
285.3,58,5.2,43,137.9,7.3,8.6,8.8,48.6
370.4,50,6.5,84,201.4,7.3,9,10,49
383.1,58,8.2,81,110.2,5.7,9,10,47.3
307,54,6.4,84,81.9,7,9.5,10,47.2
369.2,45,7,86,90.7,6.7,9.2,10,48
363.5,57,5.2,74,71,7.1,9.5,3.5,63.6
291.4,58,7,117,84.7,6.9,9.5,2.8,70.4
381.5,54,6.3,39,103.3,6.9,8.9,8.6,50.6
393.6,54,7.7,59,56.7,6.7,9,6.6,60
425,52,7.9,77,120.7,6.7,8.6,8.4,55.6
423.2,42,9.6,38,160.6,6.9,9.2,10,56.5
277.3,59,7.2,75,79.2,7.6,8.8,8.2,57.1
303.7,58,6.9,121,188.4,6.4,8.4,10,46.4
390.9,46,6.7,80,143,5.5,8.7,10,42.3
390.8,42,6.1,85,166.4,6.8,9.3,9.6,46.7
390.9,58,6.9,48,90.4,6.5,8.9,10,46.8
591.2,53,6.1,64,158.5,5.5,8.6,9.9,40.9
394.3,53,6.7,70,70.9,6.3,9.1,9.5,46.9
428.1,56,8.1,72,160.1,6.8,9.8,9.5,52.9
417.2,56,5.3,112,127.7,7,8.8,9.9,44.3
399.1,69,7.9,93,144.9,6.5,7.5,10,49.6
341.1,54,8.1,52,67.1,7,9.3,6.9,61.4
405.5,46,6.4,86,79.7,7.1,9.5,10,47.5
313.6,37,4,92,146.9,7.1,8.9,10,40.1
345.8,47,5.8,108,77.3,6.5,9,4.5,59.7
330.9,55,8.1,119,140.8,6,8.2,10,48.3
364.9,56,6.5,54,58.5,6.2,9.7,9.1,47.2
498.9,50,5.3,59,158.2,6.5,8.5,9.4,44
248,54,5.9,48,64.5,7.7,8.8,5.8,60.9
401.2,48,7.5,74,144.9,6.9,9,10,50.2
263.2,42,7.2,91,148.2,7.2,8.8,9.4,51.9
331.7,54,6.2,104,88.6,6.3,8.5,5.6,57.1
425.3,38,6.1,78,146.2,7.3,8.6,10,47.6
363.9,53,6,72,131.7,6.3,9.5,8.5,47.9
295.3,66,5.4,83,95.8,7.2,8.4,6.5,55.7
317.1,49,8.4,59,74.6,6.9,9.2,6.9,62
400.8,48,6.1,132,31.7,6,9.3,10,42.4
316.2,48,8,39,135.7,6.9,8.9,8.5,55.8
373,60,8.3,84,49.6,6.5,9.2,8.8,54.4
362.7,43,7.7,130,124.3,7.1,8.5,10,51.5
320.9,53,6,80,108.1,7.3,9,8.6,51.5
488.6,59,7,75,150.6,6.9,9.3,10,48.7
398,71,6.5,71,106.4,6.8,9,7.6,53.9
238.5,59,5.4,75,105.2,6.7,8.8,6.7,52.9
371.2,56,6.9,114,152.9,6.3,8.2,10,46
320.3,41,5.1,24,135.1,7.5,8.7,6.3,56.3
411.1,62,7.9,118,134.2,6.9,9.2,10,51.3
312.4,57,5.9,44,141.1,6.8,7.6,10,44.9
353.1,40,6.7,73,50.9,7.7,9.2,5.2,65.5
390.3,54,6.8,69,154.1,7.4,8.2,9.3,52
411.9,43,6.2,94,147.6,7.7,9,10,49.5
288,36,7.2,40,74.2,7.7,9,7.7,59.5
339.9,45,5.9,91,109,7.4,8.7,10,47.4
331.5,46,7.5,130,118.2,7.8,8.4,10,53.9
320.8,48,4.9,45,113.9,7.2,8.5,1,70.5
465.9,52,6.7,84,135,5.8,8.5,3.6,62.4
384.3,54,8.8,63,184.4,6.1,8.9,9.8,51.2
284.3,56,5.3,90,168.7,7.4,9,10,45.4
415.1,50,5.7,80,61,5.9,9,3.4,60.5
487.3,41,7.1,63,148,6.7,8.5,1.1,74.9
421.9,52,6.7,92,179.8,6.9,8.9,10,47.5
268.8,51,6.9,125,137.4,6.9,8.4,10,48.5
330.9,46,7.1,75,169.1,7.4,8.1,8.1,56.6
436,38,7.3,97,210.6,6.9,9.3,10,49.5
317.5,30,7.8,47,166.1,8.5,9.5,7,66.5
386.6,48,7,56,131.2,6.7,9,9.5,49.3
406.5,51,6.2,91,167,6.4,8.7,10,44.1
304.4,57,7.3,117,126.5,6.3,9.1,10,47.1
356.4,42,8.8,88,121.1,7.5,8.4,1.9,80.6
180,53,6.3,72,104.2,8.1,8.8,6.5,61.8
298.5,54,5.3,79,190.4,7.4,8.7,9,48.5
344.8,55,7.8,48,83.2,7.9,9.8,6.4,65.6
285.1,47,6.4,95,189,6.6,9.4,10,45.3
457.9,38,3.9,102,142.5,7.5,8.9,10,41.8
274.2,51,7.5,68,57,8.1,10,1.8,79.8
333.6,49,5.9,68,136.5,7.6,8.4,10,47.9
367.8,50,6.4,86,30,7.8,9.4,9,53.3
446.5,38,6.9,69,148.1,6.2,7.4,10,45.6
273.8,44,6.7,78,159.8,7.2,7.8,9.8,49.4
429.8,59,7.4,132,93.3,5.7,9,10,44.8
360.6,43,6,73,125.6,7.6,9.1,4.5,64.8
301.1,53,7.1,71,207.9,6.7,8.1,5.3,62.2
387.7,51,6.2,63,97.2,7.4,8.2,10,48.3
371.9,43,7.4,98,72.3,7.6,10,9.3,54.6
324,37,7.2,75,186.7,7.8,9.8,10,52.8
364.2,45,5.4,63,208.3,7.4,9.1,8,51.7
336.9,59,7.8,113,120.2,6.1,8.6,10,47.7
366.8,55,5.9,115,165.5,6.1,8.5,10,42
399.7,47,7.5,64,180.4,7.7,8.3,10,53.2
455.2,59,6.9,33,86.6,7.4,9.6,7.4,58.1
285.7,49,8.7,105,98.2,7,10,10,54.1
488,50,6.2,62,175.4,6.5,8.4,6.3,56
242.9,61,6.1,99,195.8,6,9,10,42.1
350.9,45,6.5,30,145.3,7.1,10,6.5,58.1
395.3,62,6.1,102,80.4,7.4,8.9,10,47.9
376.9,53,7.5,49,209.4,6.5,8.2,6.8,58.2
322.6,55,4.6,98,96.1,6.9,9.1,6.6,51.7
347.5,42,5.2,80,104.9,7.7,9.4,10,46.5
330.4,72,5.2,56,135.4,6.3,8.7,8.3,45.9
324.6,59,7.6,69,189.9,7.1,8.8,10,51.4
411,44,8.6,97,158.4,7.2,9.6,10,54.6
381.4,49,6.4,82,138.7,6.9,9.3,5.2,61.2
318.4,47,6.3,94,140.8,8.5,8.7,10,52.8
414,42,6.6,129,122,5.7,8.9,10,42.4
378.4,71,7.9,40,145.1,7.4,8.5,10,53.4
408.8,53,5.4,120,30,6.3,9.7,9.1,44
397.8,56,6.8,82,106.7,7.1,9,5.1,63.6
310.3,44,7.7,57,130.9,7.7,10,9.7,54.7
326.4,42,7.1,46,68.2,7.2,9.2,10,50.3
404.8,46,6.7,75,137.4,7.1,8.3,10,48.6
396.6,48,7.7,103,110.8,5.8,9.8,10,46.1
358.7,52,3.3,76,199,7.3,9,10,39
367,42,7.3,117,190.8,6.9,8.7,10,49.6
436.7,53,5.7,43,99,7.4,8.4,8.1,52.3
324.5,58,4.3,79,113.2,7.5,9.1,6.5,53.4
392.8,52,7.1,48,116.7,7.3,9.3,9,53.7
347.9,43,8.1,89,99.7,7.2,10,10,53.1
346.9,45,6.3,102,128.8,6.5,9,8.9,48.3
425.9,51,7.6,69,85.9,6.5,8.1,10,49
409.5,32,8.4,20,69.1,8.4,9.2,5,73.8
408.8,49,8.1,84,148,7.5,8.9,8.5,58.8
438.3,46,8.5,90,148.3,6.6,8.8,10,51.8
361.3,32,7.4,90,83.8,7.3,9.3,8.4,56
400.9,53,6.6,110,160.3,6,9.2,10,43.9
341.4,49,4.6,53,91.6,7.9,8.7,6.8,55
379.4,50,6.2,97,131.4,7.1,8.8,10,47
352.2,41,5.5,109,156.9,7.9,9,10,48
365.8,46,9.1,35,118.5,7.1,9.5,8.6,59.8
395.7,43,6.3,87,140.5,6.8,8.3,5.1,60.6
310.9,72,6.6,67,96.8,7,8.4,5.2,62.1
485.5,54,7.2,77,111.2,6.8,9.2,10,48.9
299.6,59,6.6,88,110.7,6.8,8.4,9.7,47.8
287.1,54,8.5,67,86.4,6.8,9.3,6.7,62.9
429.5,65,5.8,63,112,7.1,9.2,4.8,61.1
407.5,50,6.7,80,50.3,7.2,9.6,4.5,65.5
397.4,59,5.6,52,97.9,6.5,9.8,1.8,67.3
397.7,54,4.9,52,107.2,7.7,8.7,7.9,52
359.3,44,5.8,96,108.5,7.5,10,8.7,51.4
306.2,48,6.5,51,109.1,7.6,9.7,5.3,63.8
364.5,40,6,96,117.2,7.1,10,10,46.2
319.4,59,5.7,91,141.6,7.1,8.8,10,45.5
418.5,51,4.8,36,159.4,6.8,8.9,10,41.6
351.2,60,6.4,63,90.8,7,9.1,3.6,66.3
310.5,46,4.7,109,65.9,5.9,9.7,10,37.6
340.7,57,7.4,55,73.1,7.6,9.6,10,52.7
384.8,57,6.6,68,98.1,6.1,8.7,6.4,55.2
326.2,57,4.8,91,104.2,7.6,9.2,10,44.7
310.7,51,6.1,99,85.4,6.8,8.9,8.5,50.2
374.6,46,5.6,73,61.7,7,9.7,8.3,49.9
374.7,48,6.9,65,99.5,6.8,9,10,48
329.6,48,8.1,115,128.2,6.6,8.3,10,50.9
331.7,44,4.2,123,146.8,7.5,8.7,10,42.7
373.9,44,6.6,104,94.9,5.6,9.3,9.1,45
273.1,52,6.3,82,101.4,7.9,8.9,5,65.3
275.6,52,7.3,59,78.3,7.6,9.2,7,61.4
316.9,47,6.8,59,118.6,6.8,9,10,47.5
347.2,50,5.6,93,81.8,6.4,9.3,4.8,57.9
378.7,47,6.1,90,145.8,7.7,9,8.2,54.6
448.5,52,5.5,115,39.6,5.8,9.1,9.5,41.6
411.5,52,7.8,96,103.8,6,9.5,7.3,55.6
350.4,57,6.5,42,133.5,7.8,9.4,6.2,62.3
358.9,67,8.8,106,128.3,6.6,9.4,10,52.6
299.8,43,6.4,55,241.2,7.1,9.5,8.7,51.7
358.9,53,5.6,70,135.7,7.1,9.5,7.1,54.2
342.7,47,4.7,86,74.8,6.5,9.1,10,40.2
379.4,50,4.3,129,115.7,7,9.4,8.4,45.7
310.4,45,4.6,157,40.1,7,9,6.4,52.6
391.2,57,6.8,95,116.4,6.9,8.9,8.7,51.7
452,46,7.1,75,82.5,7,10,10,49.3
353.5,55,4.6,93,161.2,7.7,8.4,10,44.5
384.1,48,7.6,102,95.3,6.7,8.7,8.9,53
401.4,42,5.9,71,114.7,6.5,9.6,9.6,45.1
335.9,43,6.7,124,91.4,7,8.9,6.1,59.9
373.4,54,8.4,85,198.2,7.9,9.1,10,56.7
360.8,51,7.6,92,105.5,6.3,9,10,48.1
365.9,69,6.2,96,202.5,6.3,9.1,10,43.5
313.6,57,5.4,90,156.6,7.1,9.7,10,44.8
361.5,66,3.9,100,141.7,6.4,8.9,8.4,42.3
389.9,44,5.6,64,136.6,6.7,9.1,10,43.6
447.1,52,6.2,66,137.7,7.4,9.1,10,48.2
417.6,47,5.3,52,33.3,8.3,9.9,4.7,65
489.2,56,6.3,90,107.5,6.4,9.1,10,44.8
314,57,6.6,99,158,6.4,8.6,10,45.2
412.3,53,6.2,91,117.8,5.9,9,10,42.2
371,53,5.7,121,56.8,6.6,9.1,6.8,53.3
491.4,52,6.7,79,117.6,7.1,9.3,7.6,55.5
311.5,55,7,96,196.7,7.1,8.1,10,49.6
309.6,44,5.2,52,176.1,7.6,9.5,8.7,49.7
324,52,8.2,70,117.2,6.9,8.7,10,52.1
232.6,44,6.4,97,162.8,6.8,8.3,10,46.4
328.5,52,6.5,101,103.5,7.3,8.8,9.3,50.7
314.5,54,7.3,72,43.3,7.6,9.3,9.1,55.1
369,48,6.8,78,78.4,6.3,9.4,5.1,60.2
380.5,41,7.6,42,190.3,8.3,8.3,10,56.1
472.6,55,6.8,71,107.7,6.9,9.7,9.7,48.9
417,45,5.8,102,109,7.4,9.6,10,46.8
325.4,43,6.9,94,106.5,6.4,9.3,8.3,51.6
306.1,44,5.1,92,205.7,6.5,8.1,8.5,45.9
389.5,37,6.6,81,193.2,7.1,8.7,10,48.2
280.8,37,6.5,80,219.8,7.8,9.3,7.1,59
469.9,44,6.3,63,112.8,7.8,9.2,8,56.1
430.8,60,6.3,97,133.3,6.7,9.1,10,46
331.8,51,4.2,90,51.8,6.8,9.5,8.8,43.6
257.2,46,5.8,92,186.5,6.8,8.3,10,44.7
441.2,51,6.6,66,67.4,7.5,9.8,10,49.7
353.1,49,6.7,26,129.8,7.1,8.2,5.7,61.5
434.3,51,5.3,107,70.6,7.3,8.7,9.8,45.5
264.3,42,8,68,93.5,7.5,8.6,8.4,58.8
324,43,5.5,58,82.3,8.3,9.4,2.9,70.7
360.3,39,7.7,97,92.6,7.4,9.3,7.1,61.1
362.8,56,7,70,95.7,6.9,9.7,7,57.6
333,53,5.7,106,95.3,6.5,9.3,4.4,60
397.4,63,8.6,95,157.5,6.3,8.4,10,51.1
295.9,48,5.1,97,70.3,7.3,8.5,8.4,49
351.5,51,7.6,45,129.9,7.4,9.5,3.6,71.5
367.2,50,7.7,110,174.8,6.4,9,10,48.6
390.9,38,5.7,86,96.9,7,9.3,10,45
402.7,41,8.2,70,87.7,7.2,9.9,9.1,55.8
292.5,56,6.2,83,109.6,6,8.6,8.9,46
268,45,6.8,35,173.1,8.1,9.2,10,52.9
436.7,51,6.8,90,128.7,6.1,9,10,45
379.9,48,6.3,54,96.1,6.7,9.3,8.8,49.1
315.1,52,7.5,46,141.8,6.6,9.3,6.6,59.2
453.1,62,7.5,41,70.4,5.9,9,7.3,54.3
366.9,40,4.4,107,150.7,6.2,9.1,10,38.1
430.8,47,8.1,64,138.4,6.6,9.1,8,56.6
364.1,59,4.5,118,106.1,7.4,9.3,10,43.1
483.6,57,7.7,66,82.3,6.3,8.9,6.5,59
465.3,38,7.9,37,80.1,7.4,8.4,6.6,63.3
345.1,42,5.2,52,144.1,7.7,8.9,7.4,54.2
418.3,47,6,110,175.3,6.6,8.3,10,44.5
398.7,53,5.2,76,91.3,6.8,9.7,3.6,61.9
442.1,41,6.2,66,140.6,6.4,8.9,8.4,49.4
302.1,62,6.1,84,30,7.6,9.7,3.9,67.2
401.2,52,7.4,92,93.7,7.6,9.8,10,52.7
423.5,42,8.1,107,118.6,5.8,9.4,10,47.5
254.5,48,8.2,116,79.1,6.5,8.5,10,50.6
289,47,5.8,71,77.9,7.2,8.7,1,73.4
237.6,46,6.2,46,89.9,7.3,9,10,48.1
343.8,49,4.5,69,133.1,7.4,9.7,10,43.2
403.1,53,5.5,86,111.6,6.4,9.1,7.7,48.9
450.1,52,7.7,55,30,8,9.1,6.3,66.1
364.4,42,8.4,56,30,8,9.3,6.3,68.2
457.7,56,5,88,92.7,6.6,9.9,7.5,48.8
277.2,41,5.8,78,140.6,8,9.5,10,49.3
257.8,46,6.5,80,30,8,9.4,5.2,65.6
356.7,54,6.8,61,97.5,6.8,8.7,7.1,56.6
383,57,5.5,74,96.3,6.4,10,6.9,51.7
358,46,7,56,182.5,7.4,8.9,6.6,60.6
236,50,5.9,102,102.7,7.6,9,10,48.3
354.7,41,6.5,105,137.2,7,8.6,10,47.5
281.7,49,7.2,33,126.4,7,8.6,9.4,50.9
400.2,47,6.5,56,30,6.8,9,8.3,51.7
382,58,6,42,154.6,7.1,9.2,10,46.3
303.6,56,6.4,63,129.7,7.2,9.8,7.9,54.1
329.2,48,6.4,77,142.9,8.1,9.1,10,51.8
296.4,56,6.1,43,296.7,6.8,7.8,10,45.2
356.2,51,6.2,56,30,7.5,8.6,3.1,69
417.3,68,8.4,54,197.6,7.4,8.1,8.4,59.7
300.9,40,7.2,85,107.1,8.5,8.9,10,55.4
390.2,49,6.1,81,132.9,6.7,8.8,10,45.2
328.2,39,7.3,61,118,7.8,9.4,10,53
312.4,41,6.1,84,100.9,7.6,9.2,10,48.6
353.6,55,7.9,66,94.4,7.2,8.2,5.8,64.9
297.9,47,6.9,73,134.8,7.3,9.4,10,50
326.8,49,6.4,121,51.7,6.9,8.4,9.4,48.5
288.1,56,7,113,153.8,5.5,8.9,10,43.2
477.9,54,4.6,47,101.3,7.2,8.3,7.4,50.4
362.1,45,5.1,100,69.1,6.9,9.9,8.2,48.7
318,49,5.1,100,99.7,6.8,8.8,10,42.6
372.8,53,6.7,51,176.6,8.2,9.1,10,52.8
353.3,53,8.6,100,95.9,6.4,9.7,8.2,56.8
346.7,36,9.2,118,136.1,6.7,9,10,54.5
396.9,41,7.3,51,87.1,8.3,8.7,4.3,72.2
